Sample,MCC 1,MCC 2,MCC 3,MCC 4,MCC 5,MCC 6,MCC 7,MCC 8,MCC 9,MCC 10,MCC 11,MCC 12,MTC 10,MTC 1,MTC 2,MTC 3,MCC 13,MTC 4,LCNEC 14,LCNEC 15,LCNEC 16,LCNEC 1,LCNEC 2,LCNEC 3,MCC 14,MCC 15,MCC 16,MCC 17,PCC 1,PCC 2,PCC 3,PCC 4,PCC 5,PCC 6,PCC 7,PCC 8,PCC 9,PCC 10,PGL 1,PGL 2,PCC 11,PGL 3,PGL 4,PGL 5,PGL 6,PCC 12,PGL 7,PGL 8,PanNET 1,PanNET 2,PanNET 3,PanNET 4,PanNET 5,PanNET 6,PanNET 7,PanNET 8,PanNET 9,PanNET 10,INET 1,INET 2,INET 32,INET 3,INET 4,INET 5,INET 6,INET 7,INET 8,INET 9,INET 10,INET 11,INET 12,INET 13,INET 14,AppNET 1,AppNET 2,AppNET 3,AppNET 4,AppNET 5,AppNET 6,AppNET 7,AppNET 8,AppNET 9,PanNET 11,AppNET 10,RNET 1,RNET 2,RNET 3,PanNET 12,PitNET 1,PitNET 2,PitNET 3,PitNET 4,PitNET 5,PitNET 6,PitNET 7,PitNET 8,PitNET 9,PitNET 10,SCLC 1,SCLC 2,SCLC 3,SCLC 4,SCLC 5,TC 1,TC 2,TC 14,TC 3,AC 7,AC 8,AC 9,AC 10,AC 11,AC 12,AC 13,AC 14,AC 15,MTC 5,MTC 6,MTC 7,MTC 8,MTC 9,AppNET 11,AppNET 12,AppNET 13,INET 15,INET 16,INET 17,INET 18,INET 19,INET 20,INET 21,INET 22,INET 23,PanNET 13,PanNET 14,PanNET 15,PanNET 16,PanNET 17,PanNET 18,PanNET 19,PanNET 20,RNET 4,RNET 5,AppNET 14,AppNET 15,INET 24,INET 25,INET 26,INET 27,INET 28,INET 29,INET 30,INET 31,PanNET 29,PanNET 21,PanNET 22,PanNET 23,PanNET 24,PanNET 25,PanNET 26,PanNET 27,PanNET 28,RNET 6,RNET 7,TC 4,TC 5,TC 6,TC 7,TC 8,TC 9,TC 10,AC 1,AC 2,AC 3,AC 4,AC 5,LCNEC 4,LCNEC 5,LCNEC 6,LCNEC 7,LCNEC 8,LCNEC 9,LCNEC 10,SCLC 6,SCLC 7,SCLC 8,SCLC 9,SCLC 10,TC 11,TC 12,TC 13,AC 6,LCNEC 11,LCNEC 12,LCNEC 13,SCLC 11,NB 1,NB 2,NB 3,NB 4,NB 5,NB 6,NB 7,NB 8,NB 28,NB 9,NB 10,NB 27,NB 11,NB 12,NB 13,NB 14,NB 15,NB 16,NB 17,NB 18,NB 19,NB 20,NB 21,NB 22,NB 23,NB 24,NB 25,NB 26,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTC 1,PTC 2,PTC 3,PTC 4
Lane_ID,183,183,183,183,183,183,183,183,183,183,183,183,990,991,991,991,1005,992,992,992,992,1005,1005,1005,1005,1005,1005,1005,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,916,917,917,917,917,990,990,990,990,990,990,990,990,990,990,990,990,990,990,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.3,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.6,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.7,916.8,916.8,916.8,916.8,916.8,916.8,916.8,916.8,696,575,575,575,575,575,696,696,696,696,696,696,696,575,696,575,575,575,575,575,696,696,696,696,696,575,696,696,917,917,917,917,917,917,917,917,917,205,205,1199,1199,1200,1200
Epithelial_status,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Non-epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial
Pathological_type,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MCC ,MTC ,MTC ,MTC ,MTC ,MCC ,MTC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,MCC ,MCC ,MCC ,MCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PCC ,PGL ,PGL ,PCC ,PGL ,PGL ,PGL ,PGL ,PCC ,PGL ,PGL ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,AppNET ,AppNET ,AppNET ,AppNET ,AppNET ,AppNET ,AppNET ,AppNET ,AppNET ,PanNET ,AppNET ,RNET ,RNET ,RNET ,PanNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,PitNET ,SCLC ,SCLC ,SCLC ,SCLC ,SCLC ,TC ,TC ,TC ,TC ,AC ,AC ,AC ,AC ,AC ,AC ,AC ,AC ,AC ,MTC ,MTC ,MTC ,MTC ,MTC ,AppNET ,AppNET ,AppNET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,RNET ,RNET ,AppNET ,AppNET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,INET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,PanNET ,RNET ,RNET ,TC ,TC ,TC ,TC ,TC ,TC ,TC ,AC ,AC ,AC ,AC ,AC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,LCNEC ,SCLC ,SCLC ,SCLC ,SCLC ,SCLC ,TC ,TC ,TC ,AC ,LCNEC ,LCNEC ,LCNEC ,SCLC ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,NB ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTA ,PTC ,PTC ,PTC ,PTC 
hsa-let-7a(3),5164.92,8230.95,37716.92,16836.84,13956.4,18406.9,11539.94,19224.27,21065.97,7221.53,11374.39,4822.83,12292.26,893828.8,284132.68,86423.23,37581.73,28867.81,2599.17,32839.01,353.76,25901.76,401385.02,104701.59,63321.1,102930.32,60383.7,153253.97,13544.14,484066.53,158610.03,899075.8,566868.77,80524.88,384435.47,262027.41,259331.79,292720.91,86222.94,17176.78,192065.59,204293.76,42802.5,180350.04,223865.18,85152.51,130519.12,117218.18,134802.76,192045.8,304820.57,80633.62,657517.58,39088.7,49621.61,122564.31,72404.19,928825.41,94159.09,40250.97,770.94,305650.14,38566.47,39505.54,484256.32,1982.1,159707.82,58634.33,1017.43,19013.81,20633.72,16134.43,285370.14,454.41,37051.4,21956.8,43807.48,193397.36,104369.41,49481.34,423.95,217595.59,24014.29,24634.13,76630.69,13699.27,33172.56,1061190.57,86663.21,11336.74,42485.91,295726.89,787374.45,220064.69,126421.35,25294.62,189008.25,26508.84,7236.15,114441.62,742140.74,41119.07,497957.36,373714.77,32408.77,1530.55,135727.96,141874.56,294484.66,171627.7,76842.82,66612.11,37502.41,1822.51,257139.39,136108.91,3633.7,25013.89,127003.17,11183.1,41241.28,3205.16,18440.51,13731.28,3544.17,19934.8,9.99,5282.71,151155.26,328618.71,1159.8,336.49,105.09,279.99,187.2,270.66,3874.46,18342.52,17270.38,1479.02,12701.33,94724.82,650.2,524.5,46386.21,22818.52,16144.21,219.54,7130.37,65218.49,118924.67,49235.74,3626.77,7.21,2456.68,668.95,2504.73,3540.34,195.64,218450.66,53531.09,3091.26,8952.86,19796.13,144862.59,5512.98,110000.08,53298.13,117875.12,6773.41,83489.17,49691.19,316918.15,16716.77,10523.9,6295.49,27582.68,2974.49,22985.09,15440.28,105018.16,6973.44,8695.29,20629.82,83052.14,25605.07,17903.52,5003.97,113527.78,1473.74,251127.94,83283.27,38678.52,41127.33,9337.84,64262.49,926861.63,214285.38,93462.35,696290.15,96184.44,365570.44,30864.2,680108.47,329.19,88284.07,41150.89,58311.83,25906.71,183055.11,213512.93,1560419.8,406273.46,125254.77,626708.91,379360.89,108444.36,156982.1,136344.6,112881.34,23414.24,409477.86,160074.65,221711.97,217047.6,350325.8,157304.95,245982.18,77795.06,146887.01,259818.49,340613.33,361380.58,16405.68,32522.48,204037.6333,199954.4762,157446.131,43624.06548
hsa-let-7a-1STAR(2),31,27,143.66,90,72,99,43.66,47,80,45,51,19,154.66,5406.34,2279.66,366,199.66,172.34,23,101,0,262.66,2420.5,625.34,216.34,607,219,237,21,656.66,476.66,1943,1228,247,871,525.34,489,908.66,103,21.66,471.34,1018,499.34,329.66,700,261,174.66,253,133.66,167,327.84,170,560,73,50,172.66,40,3369.66,209.66,46.66,40,1028.66,93.66,76,2135.66,30,302.34,235.66,0,54.66,50,41,1085.34,0,101,141,103,2354.66,224,143,11,689.34,87,52,388.66,71,203,2598,335,17,92,1373.66,1453.66,1964,418,73,523.34,69.66,39,398.66,6127.66,128.34,2717.34,1469.34,72,4,602,924.66,2291.34,959.66,410.66,436,696.34,10,1758.66,735.66,30,167,1028.66,92,315,13,68,64,9.66,71.34,3,11,1244,1141,9,2,1,0,0,2,17,38,62,11,312,761.66,15,7,168.66,67,80.66,0.66,88,957.66,1884,220,26,0,13,2,8,16,1,1033,492.84,90,65,186,2524.66,59,1130.66,691.66,1512.66,49.34,777.66,958,3315.34,260,91.66,69.66,393,78,371,145.66,824.34,102,88,326,1084,533,353.66,91,877.5,7,2886.66,791.66,442.66,468,76,892,6080.34,1661,673.34,2790.5,541.66,1188.34,97.66,3548.34,0,859.66,82,275,75,477.66,552.34,6369,3717,417.66,2418.34,1330.66,265.66,709.34,622.66,863.66,49,2249,1182.66,1078.66,409.66,762,496.66,624,406,302.34,913,838.67,2436,52,201.66,1245,359,511.6666667,122.6666667
hsa-let-7a-2STAR(1),0,1,0,0,0,0,0,0,0,0,0,0,1,18.83,17.5,10,0,0,0,2.5,0,3,0.5,0.5,0,0,1,0,1.5,4,11,23.5,8,1.5,8.5,7.5,2.5,9,0,0,1,1.5,1,3,3,1,0.5,1.5,4,1,12.5,0.5,18.5,1,1.5,0,1,8.5,2.5,2,0,19,0,8,7,0,8.5,4.5,0,0,7,0,17,0,4,6,0.5,21.5,6,0.5,0,21.5,0,0,0,0.5,0,14,3,0.5,0.5,3.17,5,3,2,0,2,0,0,0,4.5,0,0.5,10,0,0,7.5,2,3.5,7,0.5,2,1,0,0.5,3.5,0,1,17.67,1,8,0,5,5,0,1,0,4,30.5,8.5,0,0,0,0,0,0,0,0,2,0,3.5,6,0,0,6,1,2.5,0,0,16,28.5,0,1.5,0,0,0,0,1,0,11,23.5,5,1,0,5,0,0,2,0,0,0,4,0,0,0,0,1,1,4,0,9,1,0,0,8,3,1.5,0,2,0,9.5,2.5,3,3,0,1,3,11.83,3,34,5.5,6.5,2.5,16.5,0,3.5,3,4,4,2.5,0,105.5,14.5,9,44.5,41,6.5,14,16,5,0,45,4.5,15.5,5.5,14,8.5,27.5,9,2,106.5,2,72.5,1,0,6,10.5,0.5,9.5
hsa-let-7b(1),930.53,760.37,8478.57,4401.53,3545.63,5982.33,1363.78,6189.7,6396.23,797.7,3115.9,544.53,1955.25,250210.31,59225.29,14875.33,10475.73,7764.36,1218.55,7663.42,221.3,18216.48,111948.63,68465.69,20076.2,14427.18,37988.97,84789.18,4978.39,142424.37,27679.32,238326.08,125481.64,11289.84,68828.64,70319.48,60190.48,114233.61,16996.47,4289.66,53109.97,34487.21,13162.38,57106.68,39084.93,19921.16,33020.48,33809.07,75840.13,55337.52,141437.44,92969.32,343278.64,32299.37,50530.92,112609.57,79808.41,741621.22,37705.7,16034.94,784.2,101378.53,19746.17,16488.84,178021.6,1152.15,94083.13,38226.33,823.95,10683.23,11905.72,10077.2,168484.08,1159.35,22019.23,21916.7,23266.59,96231.35,78137.04,50172.87,904.03,115092.2,9417.9,28436.27,51534.07,12835.41,18347.12,308026.29,23602.45,3210.2,6921.05,66011.28,144633.15,39254.07,49008.2,10218.67,41381.52,4784.03,3026.48,55228.68,365070.6,11610.99,178163.46,149575.54,13211.65,964.06,67135.02,29325.89,102998.15,44360.99,14074.97,20020.47,6817.22,545.3,91101.95,37924.06,981.18,5985.36,30490.37,2020.9,7783.39,7640.88,35018.83,10744.52,3302.8,20001.9,22.5,4065.45,98360.62,213123.42,1569.05,302.6,232,551.3,227,348.05,4599.68,8226.61,22801.17,2397.75,6812.75,92903.95,1191.8,883.25,49383.27,9836.58,15029.4,188.15,3690.58,33743.85,72257.83,26912.51,3419.07,4.4,3877.47,581.25,1458.27,4559.38,433.55,97820.73,37128.45,8874.17,7365.5,15873.3,108209.8,7202.73,15205.01,18109.55,51746.61,10523.5,19913.52,31814.77,193842.52,11358.77,2691.47,3240.9,22524.68,1855.07,14193.98,15203.06,26275.17,4927.83,5511.24,8477.4,28885.55,10768.05,16241.87,2797.65,41218.05,5612.32,32477.09,27322.83,14173.17,15765.8,5306.03,24818.02,211671.93,29757.82,18912.02,246218.19,35658.04,76054.17,7133.43,224073.96,170.33,16750.19,22804.56,9357.35,24016.45,43978.09,99089.99,801230.21,65428.97,58864.56,169645,122548.61,63721.28,49627.14,79610.27,16711.68,12331.53,186804.14,53588.07,65865.34,45260.38,65797.85,35221.38,50566.47,17003.84,26214.57,47717.21,51319.45,53771.49,2637.62,2897.25,25169.96667,28219.08333,52790.19444,4050.158333
hsa-let-7bSTAR(1),0,0,4,2,9,3,1,7,2,1,4,0,21,1675,634.33,152,27.5,25,7,23,0,111,448,161.5,47,15.5,59.5,75,40,192,105,812.5,395,30,226.5,164.5,141,386,63,8,106,113.5,55,224,128.5,85,83.5,87,59,49.5,166.5,74,465,24,52,149.5,44,1145.5,166,30.5,0,293,51,45,737.5,13,221.5,114.5,0,18,17,6,548,0,64.5,70,29,772.5,194.5,94,0,262,23,41,216.5,23.5,113.5,1477.5,150.5,1,44,296,225,151,152,28,176.5,11,1,280.83,1605,30,755.33,396,26,4,223.5,208.5,597.5,247.5,59,175,40.5,2,328,180,5,36.5,316.5,5,117.5,14,67,48,1,34.5,0,1,316.5,448,3,0,0,0,1,1,1,27,61,9,77,201.5,6,6,231,53.5,63,1,15,439.5,1013,85.5,24.5,1,12,0,1,14.5,0,762.5,340.25,80.5,17,60,781.67,9,137,53,180.5,22,103,200.5,811.5,46,2,9,77.5,9,61.5,66.33,89.83,23.5,13,69.5,264,83,52.5,21,102,4,460,107.5,74.33,78,23,135.5,583.5,136,96,1006.75,102,467.5,22,801,0,108,217.5,25,160.5,198.5,258.33,2699.33,422,411.5,920.5,643,317.5,241,307.5,93,58,1286.33,224,390.5,109,209,189.5,200,66.5,112,138,154.5,185.5,14,30,145,194,186,29
hsa-let-7c(1),119.65,48.77,250.33,506.34,127.22,145.87,90.42,154.07,183.74,56.77,66.91,21.4,8100.28,106171.7,70932.42,30264.24,356.99,10622.14,286.86,7063.33,16.8,1693.27,2205.47,76875.01,2255.18,572.88,689.82,1428.97,706.79,9915.07,7631.89,57994.62,11867.83,1581.33,14133.46,9283.24,4192.25,13896.61,2802.41,338.8,40099.78,6533.1,2156.96,7177.27,7849.67,2366.59,2718.81,4378.47,9500.17,2991.21,32860.12,3558.07,43708.21,11568.77,7109.53,5158.75,2680.8,83859.86,4476.22,3790.49,95.97,16470.68,3947.74,4030.97,14804.02,114.69,9098.69,4746.27,73.46,1523.84,1382.8,430.92,16080.6,85.73,6855.1,4815.84,9085.02,7650.68,18112,1958.08,73.62,27175.8,446.13,7092.12,2857.94,2206.2,662.82,20862.59,22433.09,3681.95,5970.15,20837.03,161062.97,75063.43,2268.16,2371.96,55233.95,8881.87,438.16,4110.45,17039.12,2246.01,3438.04,71268.96,1080.18,242.72,54056.19,8378.71,98838.87,59703.11,1528.63,4299.64,14664.3,603.75,42257.33,84346.91,2210.93,19196.59,29897.17,8511.58,11852.96,1997.75,5820.22,4976.88,576.33,2815.41,4.5,781.17,23838.6,17818.53,153.78,27.05,25.7,14.8,39.75,32.05,795.48,1520.39,1561.57,226.08,1034.12,11991.29,66.3,254.17,22275.08,2457.99,2968.67,18.85,783.76,5210.12,21433.87,3119.65,352.83,2.4,553.15,32.9,199.82,494.7,56.05,12175.01,9917.6,793.58,415.34,765.83,81439.63,1854.67,14384.89,14474.35,4580.4,2039.6,32962.35,2525.1,6936.1,395.42,306.04,506.45,607.68,480.37,1255.73,1336.08,7556.53,410.78,1174.58,2068.55,2461.65,1322.17,663.61,133.03,32424.12,1104.67,59275.42,11379.13,3381.58,8288.79,702.3,1133.21,283246.48,10123.49,3555.35,154161.74,36615.23,13307.51,2277.71,166249.1,98.75,7514.35,6265.34,5835.12,11321.58,42904.35,100296.17,323419.94,24298.54,17422.81,30450.48,43175.83,22935.65,31815.94,17211.76,17771.24,9022.08,67757.74,17300.84,22117.27,6007.83,15070.35,6655.53,10003.26,2652.58,4318.53,5483.47,7000.66,11716.43,748.55,989.64,2803.757143,2284.438095,2312.099206,2670.5
hsa-let-7cSTAR(1),0,0,0,0,0,0,0,0,0,0,0,0,12,140.33,57,35,0,16,0,12,0,1,1,63.5,1,0,0,0,0,1,10,57.5,1,1,10,4.5,2,11,2,0,30,10,4,3,5,1,1,1,2,0,7,0,11,2,0,0,2,32,3,0,0,16,1,5,19,0,2,3,0,3,3,0,29,0,13,27,14.5,20,27,6,0,19.5,0,3,5,0,0,11,25,9,9,50.67,90.5,164,0,0,94,13,1,11,28,4,0,142,0,0,76.5,13,149.5,50,2.5,8,23,1,62,98,2,36,57.67,15,36,0,6,5,0,0,0,0,38,6,0,0,0,0,0,0,3,0,6,0,2,9,0,2,19,3,0.5,0,2,11,48,3,1,0,0,0,0,0,0,5,22,3,0,2,82,2,8,5,2,5,16,4,15,0,0,0,1,0,2,0,6,1,0,4,4,3,0,0,9,0,53,14,6,2,0,2,147,11.33,1,106.5,25,24,0,356.5,0,23,4,6,17,67.5,71,396.5,42,7,28,37,28,64.5,13,25,10,40,7,42,2,29,19,11,5,2,28.5,15,12.5,0,0,1,0,1,1.5
