Embryological_type,overall_rank,MI,RankFeaturesROC,RankFeaturesWil,Relieff,TreeBagger,decisionTree,ensembleBag,ensembleGentleBoost,ensembleRUSBoost,iterSeq_knn,iterSeq_tree,iterSeq_ensbl,iterSeq_svm,iterSeq_quadrLDA,median expr Midgut,median expr Non-midgut,fold change,log2 fold change,MannWhitney Utest,Effectsize r
hsa-miR-615(1),1,1,1,1,1,0.745795576,0.966666667,1,1,1,1,1,1,1,1,-8.966778582,-17.22448558,0.520583244,-0.941799218,1.89E-09,0.79563332
hsa-miR-137(1),2,0.737504659,0.857383966,0.953586498,0.941772152,0.580673985,0.647443625,0.309373349,0.341533512,0.307747331,1,1,1,1,1,-9.579725684,-14.5154044,0.659969603,-0.599528516,7.36E-05,0.525105199
hsa-miR-30d(1),3,0.672510404,0.987341772,0.962025316,0.915611814,0.540465384,0.35480304,0.493942931,0.455927769,0.497528877,0,0,0,0,0,-7.04646563,-6.113468669,0.867593626,0.20490864,8.93E-08,-0.708248812
hsa-miR-196a(2),4,0.800282935,0.994936709,0.995780591,0.994936709,0.842427563,0.705466887,0.144056123,0.140141736,0.138662419,0,0,0,0,0,-9.787896321,-17.30396173,0.56564482,-0.822031655,7.90E-09,0.764324568
hsa-miR-377(1),5,0.620763899,0.95443038,0.912236287,0.741772152,0.78538497,0.719029376,0.310711282,0.260146827,0.299942607,0,0,0,0,0,-15.66228009,-12.65836042,0.808206746,0.307203702,2.44E-06,-0.624222259
hsa-miR-221(1),6,0.681124969,0.941772152,0.894514768,0.991561181,0.601662289,0.326635731,0.198873701,0.157898679,0.203954632,0,0,0,0,0,-9.614701912,-7.377718761,0.767337233,0.382067336,1.86E-06,-0.631566234
hsa-miR-335-5p(1),7,0.682312268,0.958649789,0.914767932,0.967088608,0.792536326,0.500680477,0,0,0,0,0,0,0,0,-12.76995947,-11.00790534,0.862015683,0.214213978,1.72E-06,-0.633706574
hsa-miR-222(1),8,0.663582283,0.975527426,0.936708861,0.953586498,0.701466646,0.439818514,0.007954303,0,0.008157523,0,0,0,0,0,-10.46852568,-8.368906374,0.799435052,0.322947264,5.02E-07,-0.665647379
hsa-miR-190b(1),9,0.69655691,0.971308017,0.924894515,0.932489451,0.478611922,0,0.140784988,0.144418893,0.135038465,0,0,0,0,0,-18.16760177,-14.19010158,0.781066305,0.356483071,8.74E-07,-0.651415874
hsa-miR-887(1),10,0.639303741,0.926582278,0.983122363,0.867510549,0.569533365,0.123483182,0.08639289,0.053069609,0.088600101,0,0,0,0,0,-12.64478823,-15.71433785,0.804665672,-0.313538608,5.98E-06,0.599644311
hsa-miR-653-5p(1),11,0.571559909,0.913924051,0.981434599,0.907172996,0.485235627,0.398614258,0,0,0,0,0,0,0,0,-11.40230684,-16.3586789,0.697018806,-0.520730513,8.67E-06,0.589155769
hsa-miR-1(2),12,0.51204209,0.827848101,0.951898734,0.591561181,0.185273818,0.055646964,0.041363482,0,0.042420258,0,1,0,0,0,-11.54205185,-14.1216397,0.817330855,-0.291007897,0.000238105,0.486729251
hsa-miR-200c(1),13,0.58674756,0.819409283,0.730801688,0.808438819,0.221982883,0,0,0,0,0,0,0,0,1,-7.603330362,-6.405556628,0.842467225,0.247307534,0.000253613,-0.484591292
hsa-miR-455-3p(1),14,0.690980373,0.96371308,0.924050633,0.852320675,0.558195421,0.033333333,0.037507628,0.050306784,0.038465892,0,0,0,0,0,-15.82725629,-13.31833161,0.841480758,0.248997814,8.84E-07,-0.651106258
hsa-miR-369(1),15,0.588072521,0.946835443,0.898734177,0.762869198,0.381759998,0.52881645,0,0,0,0,0,0,0,0,-16.37605291,-13.18669438,0.805242536,0.312504712,3.48E-06,-0.614625265
