Embryological_type,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut
hsa-miR-615(1),-9.470192468,-12.42034566,-6.255359792,-13.64616635,-10.82351725,-10.79300749,-9.950158266,-9.940164354,-8.776094436,-9.337385816,-8.162214184,-8.627038134,-7.244045256,-10.02118817,-10.15660365,-6.353606619,-8.577315881,-8.621056325,-6.718424849,-8.093555575,-10.1979346,-9.083742304,-7.199637371,-8.244453189,-9.307698965,-10.03249266,-8.584831579,-9.272461929,-7.059147241,-8.849814859,-9.978389194,-8.836724862,-19.60964047,-20.59814484,-20.32370567,-16.97737226,-16.17668107,-17.22448558,-29.89735285,-29.89735285,-15.45259676,-17.36110564,-17.85432557,-14.18740747,-12.95029813,-16.80724043,-16.15546458,-20.0518628,-15.55305695,-29.89735285,-8.095865118,-20.88054457,-19.14916,-16.56699614,-14.88717445,-18.46168259,-15.60244497
hsa-miR-137(1),-8.104508556,-9.756867545,-11.47583449,-11.16678321,-10.71959756,-12.01540247,-11.29563284,-9.846948834,-7.506105331,-10.95594125,-8.688311264,-9.70043621,-12.331507,-7.539450282,-8.19510998,-10.55000399,-8.644854303,-8.510917222,-10.23650387,-8.317304576,-8.719471671,-9.595854426,-11.15628094,-10.25479694,-9.043063507,-8.30978957,-8.628431128,-9.563596943,-10.9903566,-7.938686866,-9.485348531,-8.91831011,-17.54475762,-15.61687204,-14.5154044,-17.91364666,-13.82933038,-14.5154044,-29.89735285,-29.89735285,-8.719101367,-29.89735285,-18.21787275,-15.99610882,-15.27050309,-5.833341765,-14.29639462,-17.56699614,-12.48613153,-14.96809445,-17.58674007,-13.25123015,-8.728792129,-8.741960802,-8.741792183,-8.673319963,-9.190963075
hsa-miR-30d(1),-6.996776399,-7.534827873,-8.525418317,-7.156522144,-7.563979362,-7.646166928,-6.870714429,-7.151827262,-6.801908021,-7.145220927,-6.647939307,-6.772367661,-8.88427149,-6.684555784,-7.215695571,-7.106323545,-6.39947605,-6.592650469,-6.68997161,-6.606852879,-6.171830883,-7.758265271,-9.073291448,-6.887124585,-7.096154861,-7.843941313,-6.626997067,-7.470347756,-6.743033192,-6.423516576,-5.850633403,-7.441995279,-6.594056351,-5.043398689,-6.632104381,-5.173109176,-6.275344839,-5.875781821,-6.253948348,-6.225804121,-6.047892964,-4.736570927,-6.163263474,-6.511235787,-6.738897559,-5.877946391,-6.2332714,-6.816901578,-6.106467773,-6.113468669,-6.024532397,-6.251130034,-6.036736504,-5.966222931,-6.664294674,-5.939707967,-5.640696975
hsa-miR-196a(2),-9.607008831,-13.29349473,-13.36323239,-15.76968089,-11.55988339,-13.01540247,-9.334775952,-11.0380031,-8.570485627,-12.44635108,-7.390442423,-6.586218769,-11.95711383,-7.736194824,-15.28195311,-8.522889078,-6.611291219,-8.457454013,-9.07343756,-9.16563939,-15.67606784,-12.57220554,-9.082280765,-9.829873851,-10.74163779,-14.38931052,-11.17138422,-9.745918791,-8.328304334,-8.363435732,-12.7332807,-9.629154692,-18.20038533,-19.27164401,-18.00177757,-14.95887592,-16.47213695,-16.6775793,-29.89735285,-29.89735285,-15.25914323,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-16.79078991,-18.89594466,-18.20473735,-16.10374954,-29.89735285,-10.09160741,-13.11623651,-11.79179725,-17.30396173,-15.19821423,-16.22007366,-16.18740747
hsa-miR-377(1),-14.83986874,-14.01270533,-29.89735285,-13.66853416,-15.15020886,-15.60244497,-14.3257187,-14.91810631,-17.34901257,-14.30512943,-16.55305695,-13.74570202,-29.89735285,-16.28771238,-12.70965283,-15.7221152,-17.2625418,-16.31098216,-13.64801715,-15.98671012,-29.89735285,-16.7066022,-15.40174762,-16.06367211,-15.86117924,-19.55305695,-16.08357166,-14.31098216,-14.05382432,-14.77776323,-29.89735285,-15.37697972,-11.793645,-12.07122647,-12.93517982,-10.87155362,-13.09791944,-12.37448019,-10.74935798,-12.35394337,-10.1238337,-10.08501414,-12.85556538,-13.08715781,-12.1023025,-10.12173132,-12.65836042,-13.54096966,-14.68744263,-11.71807061,-13.24561441,-16.97365397,-13.42694818,-15.89594466,-17.2969753,-16.28771238,-12.33298004
hsa-miR-221(1),-9.777169409,-8.494385574,-11.99878689,-7.860356287,-8.264731662,-7.19097235,-7.570299709,-9.46828739,-11.87067813,-7.635869648,-9.20994385,-9.876542425,-10.06958685,-9.491559047,-10.87723016,-10.52615689,-9.466882947,-9.492763205,-8.897251732,-10.05545072,-10.33381767,-9.73664062,-9.156280935,-11.22889025,-10.48207322,-10.0519164,-9.35179915,-10.25065704,-9.93953096,-10.30986282,-8.951916877,-9.383868123,-6.267275518,-8.260521606,-8.064995517,-6.800199983,-6.812720912,-8.986565217,-6.805542051,-6.894510032,-10.74255946,-7.652916137,-5.970701244,-8.746116388,-6.683512779,-11.2384615,-6.912772202,-8.231330877,-7.929872568,-6.77370535,-8.884589207,-6.60710151,-7.386538715,-6.087965939,-7.282038656,-7.377718761,-7.689125641
hsa-miR-335-5p(1),-12.03469128,-12.78487262,-14.68364106,-12.81683717,-13.15144223,-12.27843688,-13.62231961,-12.24704435,-12.23710621,-13.22979775,-12.75504632,-11.34929108,-15.27621674,-11.81792536,-11.64901756,-14.45583514,-12.3087846,-12.98613644,-13.54959309,-13.39085931,-12.28134972,-13.90034984,-15.40174762,-11.26501434,-12.55235484,-14.11650555,-12.45559201,-13.23154507,-11.64901756,-12.11797334,-11.73327579,-12.79151594,-10.64355614,-8.888425738,-11.15452043,-8.809392846,-8.393908981,-8.704545949,-11.01239238,-11.06443503,-11.49007679,-10.96882002,-10.48245708,-10.76522469,-12.68726182,-10.62448163,-10.13610518,-10.06621574,-11.66539577,-9.836714967,-14.12679219,-11.00790534,-11.94954472,-11.12027737,-13.8377549,-11.31238668,-13.02103976
hsa-miR-222(1),-10.94762587,-10.3199646,-14.68364106,-9.118110418,-9.686557867,-8.95650735,-9.36539558,-10.60671522,-12.96829098,-9.909507362,-9.979587448,-10.4157288,-12.22841248,-10.74993425,-12.19165298,-11.59891434,-10.43557567,-9.952080494,-10.50147569,-12.2673133,-10.15010558,-11.39318561,-11.0822792,-11.22911534,-10.50951222,-10.99377694,-9.678471575,-10.39732795,-10.01645555,-10.54829845,-9.273844614,-10.08823476,-6.988706261,-9.388424587,-8.981119111,-7.786378972,-7.391530399,-9.814742491,-6.880365237,-7.938904215,-11.05858902,-7.587998631,-6.512378385,-9.584652666,-8.1954119,-10.87480623,-9.411152214,-9.922571385,-9.395901463,-7.470143096,-9.993004888,-7.80593813,-7.885021919,-8.368906374,-9.574755695,-8.817989822,-7.919499638
hsa-miR-190b(1),-14.93608405,-18.62705753,-29.89735285,-15.98671012,-29.89735285,-29.89735285,-18.86117924,-16.00556915,-14.07607713,-17.69890781,-16.72993471,-13.68554059,-16.49860916,-15.94061371,-16.15546458,-29.89735285,-15.22007366,-16.47213695,-15.13455559,-16.7127874,-29.89735285,-17.70814602,-29.89735285,-19.86117924,-19.66853416,-19.14079653,-29.89735285,-17.48002774,-18.96071491,-18.81387353,-29.89735285,-29.89735285,-13.67418073,-12.26010534,-12.53203001,-13.20751864,-14.35262986,-12.45355133,-29.89735285,-12.52386742,-14.55652914,-17.36110564,-15.7066022,-14.18740747,-13.27222908,-17.03046033,-14.19010158,-12.70036659,-12.234907,-11.57368232,-14.2283571,-15.48531234,-14.4655941,-12.06116069,-15.21457767,-17.13663291,-14.86979237
hsa-miR-887(1),-14.72601966,-15.60964047,-29.89735285,-15.54613753,-14.09362533,-13.60065169,-14.72601966,-16.49860916,-17.76485312,-12.66950192,-12.47442576,-11.81968175,-11.22841595,-12.2618827,-11.15038592,-11.44194536,-11.60956383,-10.04793401,-13.45583514,-12.752167,-13.67418073,-11.74322699,-11.70376974,-9.802027951,-12.68263532,-12.62007454,-13.50362724,-13.43491449,-10.49837541,-11.33804672,-10.73327579,-12.44755937,-13.95428865,-13.15478025,-16.93156857,-15.71433785,-14.24506804,-16.6775793,-12.33432048,-15.52557621,-15.25914323,-29.89735285,-16.49860916,-15.40800661,-13.68744263,-17.32987205,-16.31098216,-14.94061371,-17.2025597,-14.38005255,-15.19280073,-18.17881998,-16.8238807,-15.85261723,-16.3586789,-18.46168259,-15.60244497
