Pathological_type,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Appendiceal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal,Ileal
hsa-miR-887(1),-29.89735285,-14.72601966,-14.43012942,-15.60964047,-18.30863822,-29.89735285,-15.54613753,-14.83564415,-13.60065169,-17.76485312,-12.47442576,-11.81968175,-11.22841595,-11.14805298,-12.2618827,-11.15038592,-13.45583514,-12.752167,-12.2073003,-11.11278829,-11.44315398,-10.12169274,-11.74322699,-9.802027951,-12.62007454,-13.50362724,-12.43999602,-13.43491449,-10.49837541,-11.33804672,-10.73327579,-12.44755937
hsa-miR-450a(2),-13.07474468,-12.44297323,-13.81470481,-13.82095476,-10.25926169,-13.22585325,-13.27240037,-13.03836413,-12.43043997,-12.00925772,-16.59528518,-16.60964047,-17.0855768,-16.44614174,-15.66103963,-16.55305695,-13.86979237,-17.23557476,-15.26481198,-16.83395777,-19.21787275,-29.89735285,-15.60964047,-15.82723191,-18.82053726,-17.41051783,-17.39054942,-29.89735285,-16.15546458,-18.14916,-29.89735285,-16.61687204
hsa-miR-125b(2),-4.72179588,-4.27660815,-4.181720951,-5.742616855,-4.262613994,-4.654967259,-4.875103455,-3.614928088,-3.888266277,-5.353902597,-6.281179611,-6.074033627,-7.181008539,-6.314916466,-6.384100545,-7.515080563,-6.893429765,-6.888983222,-6.368105571,-6.004489628,-7.427073306,-7.848674749,-6.387690429,-7.20165303,-7.307314568,-5.676987222,-6.488809568,-6.274599781,-6.436378344,-6.244025245,-6.645813667,-6.998935799
hsa-miR-542(1),-13.07474468,-11.28357058,-13.07970711,-12.3443011,-10.54078482,-13.16173073,-13.30951675,-11.01801491,-14.01509192,-10.3604265,-16.82220801,-16.60964047,-29.89735285,-18.34180508,-16.42060665,-15.89594466,-13.36780029,-15.68364106,-14.4655941,-16.01509192,-17.02467797,-29.89735285,-15.76164357,-15.85261723,-16.49860916,-15.60244497,-17.41303343,-18.47739268,-15.15546458,-15.38931052,-29.89735285,-17.07757292
hsa-miR-192(1),-6.258922243,-6.346185813,-7.453120989,-8.576708183,-5.986267126,-10.63544159,-8.580407919,-6.762802134,-8.065087858,-6.096026068,-5.399949949,-5.315722292,-8.180256331,-5.78273938,-4.969911376,-4.516244171,-4.983108206,-5.150727161,-4.972468015,-5.647684334,-5.284222408,-5.603367911,-5.130068547,-3.615058558,-5.109603553,-4.18025824,-5.031047338,-5.589402277,-4.388695792,-4.959657518,-4.825634696,-3.941631409
hsa-miR-9(3),-11.65128496,-7.969916304,-10.16851061,-9.601326152,-8.660704454,-12.77840165,-9.258389369,-9.630514853,-10.84547482,-7.678160399,-15.20364811,-14.28195311,-13.91587476,-13.65544416,-14.49860916,-14.67606784,-12.45521929,-12.95515911,-12.01748845,-12.41792781,-14.76565663,-29.89735285,-13.94515763,-12.89253987,-16.13455559,-12.70962384,-16.00556915,-12.8353278,-13.8314319,-17.16391377,-11.03394695,-14.64987032
hsa-miR-181c(1),-12.17662096,-13.86332771,-12.26009119,-12.73788552,-11.49479041,-13.04143808,-13.78589111,-12.67761711,-13.01540247,-13.79406505,-9.71543629,-8.938538209,-13.69316383,-9.539798702,-10.25987183,-9.083824501,-13.54959309,-11.19569104,-11.43526202,-10.48712512,-9.062636466,-9.53673078,-9.208656041,-9.835717973,-9.493151991,-9.467276053,-9.6747749,-9.887020079,-9.358272632,-8.836565902,-9.563351331,-9.929714264
hsa-miR-149(1),-8.052374379,-8.635936795,-9.575935569,-12.22356072,-9.189973499,-9.446884615,-11.74117594,-9.501556211,-10.07680146,-10.10197426,-14.38005255,-14.64987032,-15.27621674,-14.15809964,-14.99140182,-11.68515573,-13.36780029,-14.05627997,-13.54096966,-11.28512866,-14.48862507,-29.89735285,-13.39551567,-12.04822268,-14.24506804,-14.71046484,-14.29639462,-13.12192261,-12.4227438,-12.55885149,-14.73386041,-14.68364106
hsa-miR-181d(1),-13.72601966,-14.34360358,-13.20328068,-14.71433785,-12.53090257,-14.68364106,-14.94061371,-13.44936564,-13.60065169,-14.63144484,-10.59396005,-9.247684422,-13.69316383,-9.581128784,-11.17997095,-10.01249073,-15.45259676,-12.36922692,-12.40146661,-11.36142066,-10.69037906,-9.684287803,-10.85413328,-10.31821189,-11.07362178,-10.13366553,-10.57036168,-10.85376747,-9.314440926,-9.87461932,-11.41134671,-11.16402963
hsa-miR-10a(1),-6.645811067,-5.876193511,-7.412669822,-8.393870159,-5.426634533,-8.604471822,-6.70780274,-7.739154302,-8.328900321,-5.957844301,-9.137116961,-8.918474149,-10.77805707,-9.124125897,-8.043637065,-9.040742678,-9.4641505,-9.660205927,-7.848712661,-8.209333535,-10.43903236,-9.899301012,-9.124548597,-9.215600575,-10.29618237,-9.964776193,-8.925478167,-8.678576794,-9.074678558,-8.900675254,-9.032836446,-9.342210485
